cbsa,gdp
akron_2015,35124.9
albany_2015,51432.8
albuquerque_2015,41538.7
allentown_2015,41647.4
anchorage_2015,28068.8
asheville_2015,17742.1
atlanta_2015,347603.9
augusta_2015,23274.4
austin_2015,127804.4
bakersfield_2015,36807.4
baltimore_2015,178894.9
batonrouge_2015,51979.6
beaumont_2015,25053.1
birmingham_2015,61259.2
boisecity_2015,30155.1
boston_2015,407675.1
bridgeport_2015,96895.7
brownsville_2015,9896.7
buffalo_2015,56814.5
canton_2015,16839.7
capecoral_2015,25820.5
charleston_2015,36979.7
chattanooga_2015,24965.4
chicago_2015,639032.8
cincinnati_2015,127587.5
cleveland_2015,4292.9
coloradosprings_2015,30077
columbia_2015,39312.3
columbus_2015,126020.8
corpuschristi_2015,22812.6
dallas_2015,491878.7
dayton_2015,39345.7
deltona_2015,16176.8
denver_2015,192499.2
desmoines_2015,50852.6
detroit_2015,242296.1
dc_2015,491778.5
durham_2015,43666.6
elpaso_2015,27867.3
fayetteville_2015,25437.4
flint_2015,13227.7
fortwayne_2015,20735.1
fresno_2015,39663.1
grandrapids_2015,56274.7
greensboro_2015,40227.9
greenville_2015,39122.4
harrisburg_2015,35209.1
hartford_2015,88387.5
houston_2015,494837.4
huntsville_2015,24153.4
indianapolis_2015,130824.6
jackson_2015,28842.1
jacksonville_2015,68810.2
kansascity_2015,125765.1
killeen_2015,16883.1
knoxville_2015,38343.4
lafayette_2015,23776.3
lakeland_2015,19611.2
lancaster_2015,27577
lansing_2015,20996.9
lasvegas_2015,103733.8
lexington_2015,27703.5
littlerock_2015,37283.6
la_2015,967100.1
louisville_2015,71698.7
madison_2015,45660.1
manchester_2015,26135.2
mcallen_2015,19101.5
memphis_2015,69317.9
miami_2015,315623.5
milwaukee_2015,99343.2
minneapolis_2015,242052.7
mobile_2015,18519.6
modesto_2015,19377
myrtlebeach_2015,16063.6
nashville_2015,118024.4
newhaven_2015,42502.7
neworleans_2015,78820.2
nyc_2015,1618365.7
ogden_2015,24003.4
okc_2015,72253.3
omaha_2015,61444.4
orlando_2015,123054.4
oxnard_2015,49728.5
palmbay_2015,19783.1
pensacola_2015,16912.8
philadelphia_2015,418605.4
phoenix_2015,221570.1
pittsburgh_2015,136683.9
portlandme_2015,29647
portland_2015,156869.3
portstlucie_2015,12849.2
providence_2015,78520.3
provo_2015,21842.8
raleigh_2015,75776.9
reading_2015,18889.4
reno_2015,23359.2
richmond_2015,76874.7
riverside_2015,144079.1
rochesterny_2015,54854
sacramento_2015,116188.9
salemor_2015,15336.5
salinas_2015,22507.9
saltlakecity_2015,80643.8
sanantonio_2015,115019.6
sandiego_2015,211806.6
sf_2015,445123.5
sanjose_2015,237831.8
santamaria_2015,25207.7
santarosa_2015,26531.5
scranton_2015,22768.8
seattle_2015,317153.1
shreveport_2015,21581.2
spokane_2015,23548.5
springfield_2015,26616.4
springfieldmo_2015,18212.9
stocktonlodi_2015,24959.6
syracuse_2015,32270.6
tampa_2015,135569.4
tulsa_2015,60542.7
tucson_2015,36480.6
vallejo_2015,20009.2
virginiabeach_2015,91725.2
visalia_2015,14948.4
wichita_2015,32080.9
winstonsalem_2015,28676.7
york_2015,17964.1
youngstown_2015,19806.2
stlouis_2015,155377.4
honolulu_2015,62943.2
charlotte_2015,155592.4
sarasota_2015,28613.5
worcester_2015,40311.1
akron_2016,35699.9
albany_2016,52861.5
albuquerque_2016,43480.4
allentown_2016,41853.1
anchorage_2016,27249.4
asheville_2016,19088.9
atlanta_2016,369805.9
augusta_2016,23850
austin_2016,135936.4
bakersfield_2016,36282.8
baltimore_2016,186855.5
batonrouge_2016,53357.4
beaumont_2016,24461.5
birmingham_2016,62402.9
boisecity_2016,31811
boston_2016,419783.3
bridgeport_2016,99282.1
brownsville_2016,10103.8
buffalo_2016,58854.9
canton_2016,16175.2
capecoral_2016,27055.4
charleston_2016,39499.5
chattanooga_2016,25949.1
chicago_2016,657588.7
cincinnati_2016,132587.6
cleveland_2016,4268.3
coloradosprings_2016,31114.3
columbia_2016,40448.6
columbus_2016,131382.2
corpuschristi_2016,21474.8
dallas_2016,503666.7
dayton_2016,40235.6
deltona_2016,16792.8
denver_2016,197068.3
desmoines_2016,54714.1
detroit_2016,250430
dc_2016,509598.7
durham_2016,42777.5
elpaso_2016,28358.7
fayetteville_2016,27258.2
flint_2016,13419.9
fortwayne_2016,21580.9
fresno_2016,40886.8
grandrapids_2016,57909.5
greensboro_2016,40402.4
greenville_2016,40512.6
harrisburg_2016,35896.8
hartford_2016,87908
houston_2016,472331.3
huntsville_2016,24896.4
indianapolis_2016,137940
jackson_2016,29570.7
jacksonville_2016,72727.3
kansascity_2016,127484.6
killeen_2016,16904.2
knoxville_2016,40207.2
lafayette_2016,21499.6
lakeland_2016,20338.4
lancaster_2016,27946.7
lansing_2016,22088.7
lasvegas_2016,107452.1
lexington_2016,29188
littlerock_2016,37834.3
la_2016,996431.8
louisville_2016,73908.2
madison_2016,48243.4
manchester_2016,27580.6
mcallen_2016,19631.2
memphis_2016,71088.2
miami_2016,330784.1
milwaukee_2016,102759.6
minneapolis_2016,250375.6
mobile_2016,18904.2
modesto_2016,20388.3
myrtlebeach_2016,16593.7
nashville_2016,126147.5
newhaven_2016,43801.1
neworleans_2016,76616.8
nyc_2016,1662671.3
ogden_2016,25146.5
okc_2016,70827.8
omaha_2016,63573.6
orlando_2016,127999.5
oxnard_2016,49926.2
palmbay_2016,20596.7
pensacola_2016,17382.7
philadelphia_2016,431383.6
phoenix_2016,231011.3
pittsburgh_2016,137944.3
portlandme_2016,31061.6
portland_2016,164503.5
portstlucie_2016,13288.5
providence_2016,80256.8
provo_2016,23881.1
raleigh_2016,79946.5
reading_2016,19629.5
reno_2016,24793.2
richmond_2016,79508.3
riverside_2016,150575.6
rochesterny_2016,55973.4
sacramento_2016,121202.4
salemor_2016,16680.2
salinas_2016,23185
saltlakecity_2016,84110.5
sanantonio_2016,119543.9
sandiego_2016,222962.7
sf_2016,475416.6
sanjose_2016,253899.8
santamaria_2016,25155
santarosa_2016,27405.5
scranton_2016,23170.1
seattle_2016,334411
shreveport_2016,21300.9
spokane_2016,24409.7
springfield_2016,27232.6
springfieldmo_2016,18566.8
stocktonlodi_2016,26038.7
syracuse_2016,33057.7
tampa_2016,141568.9
tulsa_2016,56077.4
tucson_2016,37259.9
vallejo_2016,20389.8
virginiabeach_2016,92321.3
visalia_2016,16075
wichita_2016,33585.8
winstonsalem_2016,28744
york_2016,18596.8
youngstown_2016,19652.4
stlouis_2016,157715.8
honolulu_2016,64977.1
charlotte_2016,165366.7
sarasota_2016,30004.3
worcester_2016,42116.6
akron_2017,36517.9
albany_2017,54301.9
albuquerque_2017,44050.6
allentown_2017,43821.3
anchorage_2017,27962.6
asheville_2017,20179
atlanta_2017,385542.3
augusta_2017,24395
austin_2017,148750
bakersfield_2017,37339.7
baltimore_2017,192177.7
batonrouge_2017,54987.7
beaumont_2017,25021.6
birmingham_2017,64553.2
boisecity_2017,33604.3
boston_2017,438683.9
bridgeport_2017,98256.4
brownsville_2017,10196.8
buffalo_2017,60014.3
canton_2017,16771.3
capecoral_2017,27952.9
charleston_2017,42003.8
chattanooga_2017,27071
chicago_2017,679699.1
cincinnati_2017,138033.6
cleveland_2017,4343.1
coloradosprings_2017,32683.1
columbia_2017,40884.4
columbus_2017,136296.3
corpuschristi_2017,21547.3
dallas_2017,535499.4
dayton_2017,41110.9
deltona_2017,17199.4
denver_2017,208868
desmoines_2017,57151.5
detroit_2017,260611.8
dc_2017,529990.5
durham_2017,43474.4
elpaso_2017,29032.6
fayetteville_2017,28503.7
flint_2017,13623.3
fortwayne_2017,22358.3
fresno_2017,42045.3
grandrapids_2017,60529.2
greensboro_2017,41543
greenville_2017,42108.9
harrisburg_2017,37181.9
hartford_2017,90317.5
houston_2017,490074.4
huntsville_2017,25792.8
indianapolis_2017,143873.5
jackson_2017,30236.5
jacksonville_2017,76649.6
kansascity_2017,131092.4
killeen_2017,17556.2
knoxville_2017,41459.4
lafayette_2017,22113.5
lakeland_2017,21154.5
lancaster_2017,28937.7
lansing_2017,22561.7
lasvegas_2017,112288.3
lexington_2017,29960.2
littlerock_2017,38874.4
la_2017,1043735.1
louisville_2017,76063.5
madison_2017,49853.1
manchester_2017,28442.8
mcallen_2017,20404.8
memphis_2017,72503
miami_2017,344881.7
milwaukee_2017,105426.8
minneapolis_2017,260106
mobile_2017,19406.6
modesto_2017,20659.5
myrtlebeach_2017,17216.3
nashville_2017,133251
newhaven_2017,45251.6
neworleans_2017,79289.9
nyc_2017,1717712.2
ogden_2017,26476.1
okc_2017,74883.8
omaha_2017,65052.9
orlando_2017,132448.1
oxnard_2017,50847.5
palmbay_2017,21848.6
pensacola_2017,18015.6
philadelphia_2017,444975.2
phoenix_2017,242950.6
pittsburgh_2017,147367.5
portlandme_2017,32143.3
portland_2017,171771.6
portstlucie_2017,13932.9
providence_2017,82928.7
provo_2017,25625.3
raleigh_2017,83288
reading_2017,18679.1
reno_2017,26631.4
richmond_2017,82739.3
riverside_2017,157931
